MMS Id,Permanent Call Number,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.62,0123500758545,39097014664321,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.63,0123500758552,39097014664339,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.64,0123500758560,39097014664347,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.65,0123500758578,39097014664354,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.66,0123500758586,39097014664362,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.67,0123500758594,39097014664370,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.68,0123500758602,39097014664388,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.69,0123500758610,39097014664396,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.7,0123500757992,39097014664404,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.70,0123500758628,39097014664412,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.71,0123500758636,39097014664420,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.72,0123500758644,39097014664438,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.73,0123500758651,39097014664446,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.74,0123500758669,39097014664453,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.75,0123500758677,39097014664461,,
